Title,Body
Selling Logitech Wireless Wave Combo Mk550,"Item is like new, with all factory plastic wrap.....
I has got a other keyboard set so this one is no longer needed
New egg is selling it for 65 and amazon is asking for 59.99**


******
I am asking for 50, feel free to reach me if you are interested.
****
Thanks"
Seminar: Hosted by Chemistry and Biochemistry,"January 9, 2013
GM315
 
The Sagle Group At The University Of Cincinnati:  Single Protein Patterning Using Colloidal Lithography
 
Dr. Laura Sagle 
Department of Chemistry
University of Cincinnati
 
The Chemistry Department at the University of Cincinnati offers a diverse, stimulating atmosphere to carry out graduate studies.  An overview of the Chemistry Department and the University of Cincinnati will be presented along with some recent results on a new project in the Sagle group involving protein patterning for biosensing applications.  Colloidal lithography is a cheap, easy to fabricate, bench top technique, however, achieving patterning on small scales has proven problematic.  Recent advances to traditional colloidal lithography provide the ability to pattern on unprecedented small scales, ~10 nm.  This allows for the exciting possibility of patterning single protein molecules on a surface, which offers optimal control over orientation and aggregation for various biosensing platforms."
Car Audio parts For Sale,"I am selling 2 RE audio SX 18"" subwoofers
They have brand new recones made by Fi Car Audio with 7 spiders and dual 1.4 ohm voice coils.
Autotek Mean Machine Dustcaps.

I'd like to get $165 for each subwoofer

Pioneer GM-D7500M watt monoblock amp. 
Makes 800 watts at 1 ohm.

I'd like to get $80 for this amp.

Crunch 500 watt 2 channel amp.

I'd like to get $40 for this amp."
"NOOK Color 7"" tablet for sale","I have a 7"" Nook Color tablet I bought for a Christmas present.  Another tablet replaced it.  Paid $139, asking $100.  If interested E-mail me at:  susan.dayhuff@rose-hulman.edu.  Thanks!"
Need Xbox 360's,"If you have an Xbox 360, working or not, that you wouldn't mind parting with I'd love to have it. Email me at woodjp@rose-hulman.edu, text at 517-917-4994, or stop by apartments east 210.

Thanks!"
Looking for ME 323 Book,"I am looking for a ME 323 book (Comp Apps 2). Will pay $30.
Email me at chungbk@rose-hulman.edu"
SAVE THE DATE!,"SAVE THE DATE!!!
 












IT’S THAT TIME AGAIN
 
 
RHIT “Chili Peppers
3rd Annual Ladies Luncheon Fund Raiser
to Benefit 
Riley Children's Hospital






  
  Wednesday      February 6th12 PM  
Kahn Rooms






WATCH FOR DETAILS!
COMING SOON!
 





BIGGER
BETTER
MORE
PRIZES!"
"NEW - TV, PS3, Apple TV, Dyson, Rosetta Stone, Wonderbook","Please see the attached document for information on the following items I am looking to sell.  All items are brand new and in the original packaging. 

     42"" Insignia TV
     Playstation 3 Bundle
     Apple TV
     Wonderbook (qty. 2)
     Dyson Vacuum
     Rosetta Stone - 1 Year

Email lakeseh@rose-hulman.edu if you are interested or have questions. 

Thanks!"
January Institute Meeting Minutes Posted,"The meeting minutes for the January 8, 2013 Institute meeting are posted on the academic affairs web site."
Lost Keys,"I seem to have misplaced my car keys, they are Toyota keys. Please call me at 847-830-6485 if you find them."
Found Galaxy SIII,"If you happened to misplace your Galaxy S3 upon leaving the SRC, it's waiting for you at the Building Supervisor's desk."
3D Event,"The Mathematics Department's new 3D workstation will be unveiled at the  Computational Biology & Biochemistry meeting:  When: 10th period this Friday (January 11th) Where: G220 Crapo Hall  The following structures will on display at atom level resolution in 3D!  1) The polio virus. 2) A bacterial ribosome, a molecular factory that manufactures proteins  and that is the target of several antibotics. 3) The estrogen receptor, the protein that binds female sex hormone  estradiol. 4) The androgen receptor, the protein that binds male sex hormone  testosterone.  Professor Brandt from the Chemistry and Biochemistry Department will  provide a guided tour of the structures listed above.  Everyone is welcome to attend.  Yosi Shibberu Mathematics Department"
"SimplyWell Speaker - Stress Management - Wednesday, January 30, 2013","Stress Management
Wednesday, January 30, 2013
2:30 – 3:20 p.m.
HMU – Kahn Room
 
Presenters: 
Ashleigh Schulwitz, Student Counseling Services
Mike Latta, Director of Student Counseling Services
 
Join us for a presentation on stress management. Mike and Ashleigh will present on some of the common causes of stress and what we can do to help manage the stress in our lives.

 
To sign up, please log on to ANGEL and choose ROSExperience. Spouses are welcome to attend this event! 
 
SimplyWell participants may earn 250 points under the Wellness Events category. Please log on to www.simplywell.com and enter your points within 90 days of this session.
 
If you have any questions, please contact Pam Pahnke at ext. 8916."
enclosed computer desk for sale,"Multi-compartment computer desk, fully closing doors, two sliding surfaces for keyboards/papers. 30"" wide x 22"" deep x 68"" tall. $100 OBO. Picture attached."
"Learn@Lunch - What is Pinterest - January 23, 2013","What is Pinterest?
 
Wednesday, January 23, 2013
HMU - Heritage Room
11:45 a.m. - 12:35 p.m.
 
Have you heard people talk about using Pinterest? 
Have you wondered what it is? 
Have you thought about trying it out?
 
Please join us as Pamela Pahnke, HR Assistant, introduces us to Pinterest. She’ll discuss what you need to know about being a new Pinterest user.
 
Seating is limited, please register on ANGEL.
 
 Please bring your lunch and join us for this fun and informative session.
 
If you have any questions, please contact Dawn Blankenbeker at ext. 8245."
"Missing earbuds, Etymotic Hf5's","Yesterday my earbuds seemed to have fallen out of my backpack on my way around campus. They were in a small black zippered pouch with the lettering “etymotic” on the side. The earbuds are blue and have comply foam tips on them. If you have found them please email egandz@rose-hulman.edu or text me 314-413-3468 thanks, Dan"
Apartment for sublease- spring/summer quarters,"""Efficiency"" style apartment for sublease during the spring and/or summer quarters. Located in Sharp Flats just east of campus (see http://sharpflats.com/rhit.htm). Water and electricity included for $370/month or best offer.

If interested, contact:

hallbd@rose-hulman.edu

812-276-8931"
Lost wallet.,"Hi,I lost a black wallet on campus,maybe it was lost in Union Hall. If someone picked it up, please contact by email or phone. me. My phone number is 1-812-241-3666"
Lost Tablet Stand,"Hi, sorry for the spam. I lost a tablet stand yesterday, which is a portable, fold up, black stand. If you saw it, please shot me an email at songd@rose-hulman.edu. Thank you."
Advanced Materials,"Due to thousands of ME professors being on leave,  no qualified teachers are available for Advanced Materials, and it will therefore not be offered in the Spring.

Sorry,
Garrett"
Bose headphones for sale,"Hello, I have some bose headphones and they are in pretty decent condition.  I would love to allow people to enjoy music with the quality of bose, I am currently asking 50$ o-b-o.... retail price is unknown to me so insight would be lovely :)

They are in slightly used condition but are still pretty good.

email me if you are interested at mercerbw@rose-hulman.edu

Thank you :))"
NETwork Against Malaria Beading Night! :D,"NETwork Against Malaria
Beading & Movie Night
 
What: Watch a movie with awesome people and bead jewelry in order to raise money for children and pregnant women in Uganda
 
When: Friday, January 11, 2013 from 5:30 – 8 PM (TODAY!)
 
Where: PA Room (Union)
 
Who: NETwork members and anyone who wants to help! Invite friends! New people are always welcome!
 
Why: Because it's not homework and beading is fun :)
 
Spread the word! If you have any questions, just shoot me an email at nacara@rose-hulman.edu 
 
Thanks :D"
FOUND: bracelet,"A bracelet was found today in the hallway of Olin Hall. If you think it's yours, please come to the Chemical Engineering Dept Office in O207G to describe and claim."
Beautiful blue leather couch FOR SALE! Perfect Condition!,I have a beautiful blue leather couch about 6ft long for sale. I don't need it anymore but it is in perfect condition! I am asking about $200 for it. Please email at hoffmann@rose-hulman.edu if you are interested. Thank you.
Selling Polarized Ray Ban Wayfarer Sunglass,"Hey yall,
I am selling a pair of Ray Ban Polarized sunglasses that I got for Christmas. They are the tortoise shell frames. The are in perfect shape but honestly do not look good on me. On Amazon they retail for $180, I am asking $100 obo. call/text me at 513-713-3174"
"MacBook Pro (13"" 2012), 2TB Time Capsule, and software for sale","We will sell all four of these items for $1850, or individually priced as indicated below."
FREE Amazon Student,"Hey everyone! If you haven't checked it out already Amazon Student is an amazing offer. All of you have a .edu email address so you're basically qualified for a 6-month free trial of Amazon Prime (which includes FREE 2-day shipping on tons of products from Amazon).

For more info about Amazon Student and Amazon Prime follow the link below

http://www.amazon.com/gp/student/signup/info?ie=UTF8&refcust=35XYO2OMREVDKCO22ICU2SNPNE&ref_type=generic"
Need iPhone 4s Charger,Does anyone have an extra iPhone 4s charger that plugs into the wall that would be willing to sell it to me?  Mine got wet and no longer functions :(  Let me know and thanks!
Car Audio For Sale,"I have a subwoofer box for 2 12"" subwoofers. The box is ported and tuned to 39 hz. It is made of MDF and is wrapped in grey carpet (trunk liner) and has a matte black painted port.

The box is pretty much brand new. I'd like to get $50 for it."
Playstation 3 Bundle - Brand New,"I am selling a brand new (never opened) Playstation 3 Bundle.   I am asking $250 or best offer.    Email lakeseh@rosehulman.edu.    

More details can be seen here:  http://us.playstation.com/ps3/systems/uncharted3-gameofyear-bundle.html"
Battlebot Club,"Hello Everybody,

At the beginning of this quarter we started a club to build and compete with battlebots (Yes those things you saw on TV when you were a kid). We meet Wednesdays from 6:00 to 7:30 in Moench lobby. If you have any questions feel free to email me at johnstds@rose-hulman.edu Here's a teaser: http://www.youtube.com/watch?v=7XPOSq463Rg"
Selling unopened iPod touch!,I am selling a new unopened 4th generation iPod touch 32 GB Black. Asking price of $235 with a skull candy case included. Email or call if interested. stopkaks@rose-hulman.edu  773-580-7206
Lost pencil box,"I lost my black pencil box this morning somewhere in the campus(probably in O159) It's a pencil box with a penguin pattern on it.  If you know where it is, please contact me by xuet@rose-hulman.edu
Thanks a lot."
ROOMATE(S) NEEDED,"We are looking for one or two roommates to help us fill our 5 bedroom house conveniently located less than 10 minutes from campus. (6 miles) Less than $500 a month gets you EVERYTHING! Including food. That's $6,000 a year, compare that to living on campus at around $10,000! House is in a beautiful wooded area and includes 5 bedrooms, 3 bathrooms, 2 living rooms complete with 47"" TV's with entertainment system, a large deck, a kitchen, and wait for it...a POOL. Plus, your rent will also include internet access and access to DISH TV in your room. The house is already completely furnished and ready to go. If you are interested, please email us back as soon as possible. No commitment here or anything, we just need to know who is interested so we can discuss further details."
Selling Textbooks,"Hey everybody, I totally recommend using The Rose-Hulman Campus Exchange to buy books. It doesn’t seem to be that popular but it’s a good place to sell/buy textbooks for cheap. And speaking of selling books, I have several that some of you might find you need for your classes coming up next quarter. 

They are for the following classes:
•	MA190 Contemporary Math Problems, $10.00
•	IA350 Intermediate Microeconomics, $100.00
•	MA381 Intro to Probability w/Stats, $50.00
•	CSSE120 Intro to Software Dev., $30.00

All the prices can change, as I’ll take the best offer, but I hope everyone saves some money on textbooks next quarter since we’re already paying enough just to go here.

If interested, just email me at robertcg@rose-hulman.edu, call me at (317) 777-3010, or stop by my room (Lakeside 122). Thanks, I’m Cody Roberts."
Sustainable Careers,"Sustainability Club will be hosting an information session covering companies that implement green initiatives and sustainable business plans.

All majors offered at Rose will be covered.

Many of these companies will be at the Career Fair on Jan. 23.

Wednesday Jan. 16 , 2013
6:30-7:30 PM
Room: OLIN 257

Snacks and free waters for all."
ESSENCE OF RED LUNCHEON,ESSENCE OF RED LUNCHEON
"2013  WINTER FUNFEST - ""THE GREATEST SNOW ON EARTH""","2013  WINTER FUNFEST - ""THE GREATEST SNOW ON EARTH"""
LOST PHONE :(,"My friend is missing a Droid Razr M.. It's about the size of an iPhone and is black.  It may have been lost around 11 this morning around G313.  If you see it please e-mail me, or just call Haley O'Neil from the phone (there is no screen lock or anything).  Thank you!"
Found-Package that contains card and pictures,"A package was found on the 3rd floor of Crapo Hall, it contains a card and some pictures.  Please stop by the Math Office G205 to claim.  Thank you."
Google Nexus 10 Tablet for sale,"FOR SALE
 
$500 OBO
 
(New in the Unopened Box)
 
Google Nexus 10 32GB with WiFi 10"" Touchscreen Tablet PC Featuring Android 4.2 Operating System
 
Technical Specifications: 

Dual-core A15 processor 
2GB of system memory and 32GB on-board storage memory 
10.55"" touchscreen, 2560 x 1600 resolution 
Built-in 802.11b/g/n WiFi and Bluetooth
Additional Features: 

Back 5MP webcam and front 1.9MP webcam 
Micro USB 2.0 port, micro HDMI port, magnetic Pogo pin charger port 
1080p video playback 
Accelerometer, Compass, Ambient Light Sensor, Gyroscope, Barometer, GPS 
Weighs 603g; 263.9mm x 177.6mm x 8.9mm dimensions
Software and Applications: 

Android 4.2 (Jelly Bean) OS 
NFC (Android Beam) 
Multi-user support 
Google Play (for applications) 
Gmail, Google Maps, Google+, YouTube, Chrome, Google+ Hangouts, Google Now 
Daydream mode
What's in the Box: 

Tablet and AC adapter
Also Included:
 
    FREE Book Cover, red (not available anywhere else yet)
 
Contact Sean Bendel @ 877-8967 or bendel@rose-hulman.edu"
Selling mattress and mouse,"Selling used mattress(only 2 months) for $250,http://www.amazon.com/Sleep-Innovations-SureTemp-Mattress-Warranty/dp/B003CT37L0/ref=sr_1_1?ie=UTF8&qid=1358352863&sr=8-1&keywords=mattress.
used Razer naga mouse for $40-45,http://www.amazon.com/Keyboards-Mice-Razer-Expert-Gaming-Mouse/dp/B005B39ZCU/ref=sr_1_1?s=home-garden&ie=UTF8&qid=1358353217&sr=1-1&keywords=razer+naga.
Contact Jason @812-2392285 or wangy2@rose-hulman.edu"
"Learn@Lunch - What is Pinterest - January 23, 2013","What is Pinterest?

Wednesday, January 23, 2013
HMU - Heritage Room
11:45 a.m. - 12:35 p.m.

Have you heard people talk about using Pinterest? 
Have you wondered what it is? 
Have you thought about trying it out?

Please join us as Pamela Pahnke, HR Assistant, introduces us to Pinterest. She’ll discuss what you need to know about being a new Pinterest user.

Seating is limited, please register on ANGEL.

Please bring your lunch and join us for this fun and informative session.

If you have any questions, please contact Dawn Blankenbeker at ext. 8245."
Found FlashDrive appartments,"found SanDisk Cruzer Blade 16Gb in the laundry room. I'm assuming it was washed it still works.

come to room Apartments East 104 to claim"
**T-Mobile Phone**,"I  recently broke my phone and need a temporary replacement phone until I get a new one. I was wondering if anyone had a tmobile phone they were looking to get rid of or sale. Shoot me an email. 

Thanks in advance!"
Ride to Indy,"Hey guys hope you are doing well xD. I gonna send my friend back this Friday and go Chicago for a fun weekend! Our flight is at 9 pm this Friday departing from Indy and I will return back 11:45 pm this Sunday. May anyone offer us a ride to the airport this Friday, or from the Airport to Rose this Sunday. I appreciate it and will pay for the gas if you want. Anyway go rock guys!   email: zhangh1@rose-hulman.edu"
LOST IPHONE4S,"I have misplaced my phone, a black iPhone4S, with a black otterbox defender cover, either in O201 or the bottom of Moench in the Energy lab. Please email me at mcmullbn@rose-hulman.edu. I will give a reward."
iPhone in Moench Bathroom,There is an iPhone in the women's bathroom by the mailboxes if you lost yours.
Apple TV - Brand New,I am selling a brand new (never opened) Apple TV.    More info can be seen here: http://www.apple.com/appletv/    Asking:  $85 obo.     lakeseh@rose-hulman.edu
Calculator found in lab,Please see Patti Staggs before Friday noon to claim or Safety and Security after that to claim
300W Polk audio soundbar $100,I have a polk audio 300W soundbar with wireless sub for sale first $100 takes it. This was over $250 new but my wife doesn’t like the bass. Call 5126730116 or reply to this message. Inputs are 2 3.5mm stereo jacks and 1 optical cable input. Comes with optical cable and aux cable.
Selling iPod touch !,"Black 4th gen 32 gb iPod touch, new in box! Skull candy case included.
 
$200 Or best offer!

773-580-7206
stopkaks@rose-hulman.edu"
31 in. flat screen HDTV FOR SALE!,"I have a great 31 inch HDTV that I am selling because I don't need it anymore. It is in perfect working condition, no scratches. It has HDMI and CMP1 and CMP2 ports. See pics attached. The TV is in my office, in the lower level of Logan Library. Feel free to stop by to look at the TV if you are interested or email me at hoffmann@rose-hulman.edu. I am asking $200 but I am willing to negotiate. Thank you."
Lost Calculator,"I may have misplaced my TI-84 this week in the Percopo Classroom. If you have happened to pick it up, please let me know. Unfortunately it is unmarked, but it is pretty new-looking.

Thanks,

johnsog4@rose-hulman.edu"
Found pen bag,I found a greenish patterned penbag on one of the benches in Crepo. I gave it to the math Secretary if it is yours.
"Found- Women's Accessory Bag with Calculator, Pencils etc",A Ladies Accessory bag was turned into the Math Office G205.  Please stop by the office to describe/claim.  Thanks
For sale: TI 84 Plus Silver Edition,Hey I just upgraded to the TI-89 Titanium so I no longer need my TI-84 plus silver edition. It is in perfect shape. I am selling it for $80 obo. Contact me at amreinap@rose-hulman.edu or call/text 513-713-3174
Dog!,".ExternalClass7E2365186B0049F58DA4092CB6ED4C4E p.MsoNormal, .ExternalClass7E2365186B0049F58DA4092CB6ED4C4E li.MsoNormal, .ExternalClass7E2365186B0049F58DA4092CB6ED4C4E div.MsoNormal
{margin:0in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClass7E2365186B0049F58DA4092CB6ED4C4E a:link, .ExternalClass7E2365186B0049F58DA4092CB6ED4C4E span.MsoHyperlink
{color:blue;text-decoration:underline;}
.ExternalClass7E2365186B0049F58DA4092CB6ED4C4E a:visited, .ExternalClass7E2365186B0049F58DA4092CB6ED4C4E span.MsoHyperlinkFollowed
{color:purple;text-decoration:underline;}
.ExternalClass7E2365186B0049F58DA4092CB6ED4C4E span.EmailStyle17
{font-family:""Calibri"",""sans-serif"";color:windowtext;}
.ExternalClass7E2365186B0049F58DA4092CB6ED4C4E .MsoChpDefault
{font-family:""Calibri"",""sans-serif"";}
@page WordSection1
{size:8.5in 11.0in;margin:1.0in 1.0in 1.0in 1.0in;}
.ExternalClass7E2365186B0049F58DA4092CB6ED4C4E div.WordSection1
{page:WordSection1;}



I found a super sweet dog outside Apartments East.  She’s mostly brown with some white on her face, chest and feet.  I’m pretty sure she’s a spaniel or retriever of some sort.  She has a collar but no tags.  Please email me at
stevencl@rose-hulman.edu or text/call me at 978-793-3409 if she’s yours!
 
Thanks,
 
Colleen Stevenson"
Found Keys Outside of Percopo,"Hi,

A set of car keys and a room key were found outside of Percopo the Sunday when students returned from Winter Break; however, no one in Percopo ever came to claim it, so if you lost a set of keys around that time, then come to Percopo 215 for more details or email me at pardiecj@rose-hulman.edu 

Thanks!
Cory"
Found-Textbook in G308,A textbook was found in G308 that has been there a few days.  Please stop by the Math Office to describe/claim.  Thank You.
Lost: Black Columbia coat liner,"So, its been a few weeks since this went missing, but if anybody's come across a big ol' black Columbia jacket that has snaps to go into a liner, I'd be interested in having a chat. 

galwayd@rose-hulman.edu or 757-619-7688"
Lost- Pencil case with calculator,"My pencil case was last seen in Olin last week; it contains a variety of pens & pencils, some tabs and my TI-89 which has my name at a minimum in the battery area. If you have it please let me know and I will come get it or you can drop it in my mail (CM 1232). The case is black and semi-hard.

Thank you,
Jessica Lundin
lundinjl@rose-hulman.edu"
For sale: Microsoft Webcam,"I am selling my Microsoft LifeCam Cinema 720p high definition webcam. I no longer need it now that I have an iPhone. It's an awesome webcam in brand new condition. It retails for $70, I am asking for $50 obo. Email me at amreinap@rose-hulman.edu or call/text me at 513-713-3174"
Lost: Ti-83+ Calculator,"I might have left a grey Ti-83+ in one of the big circuits labs in Moench. If the matrices are accessed, there will be a bunch of matrixes inputted, one of which may have a set of imaginary numbers.

If anyone sees an orphaned Ti-83 in any of the circuits labs, please let me know at chongsrb@rose-hulman.edu"
Missing Weight Belt,"I forgot my weight lifting belt in the Weight Room this past Friday and it has gone missing from there. It's a light brown/beige color belt, and it has Recine written on the inside of it. If you found it please send me an e-mail at recinerd@rose-hulman.edu<mailto:recinerd@rose-hulman.edu>. Or if you want please return it to the weight room. Thank you."
Password Security,"TechComm spam! But seriously, sorry for the spam, and if you have a second, please answer our survey. It's very short! Thanks!http://www.surveymonkey.com/s/JGNFLZR"
Want free Java Heute coffee?,"Our TechComm group is interested in hearing about any online security problems you might have had in the past.We would greatly appreciate anyone who could email or come talk to us about their experience, and what kinds of passwords they used.First 4 interviewees receive a coffee of any size from Java City, on us!Thanks!"
"Change a Life, Become a Mentor","Do you have an interest in helping others?  Do you enjoy sharing your knowledge and experiences? If so, this may be the perfect opportunity for you.
The Office of Human Resources is hosting a Professional Development Seminar:  Change a Life, Become a Mentor.  Please join Dawn Blankenbeker on Tuesday, February 5, 2013 from 1:35 - 2:25 pm in the Heritage Room to learn more about Rose-Hulman’s Mentoring Program, the benefits of mentoring and how sharing your knowledge, skills, and experiences can translate to the success of others.   
This seminar is open to current and prospective mentors.  
Please register via ANGEL on or before February 5, 2013."
"SimplyWell Speaker - Stress Management - Wednesday, January 30, 2013","Stress Management
 
Wednesday, January 30, 2013
2:30 – 3:20 p.m.
HMU – Kahn Room
 

Presenters: 
Ashleigh Schulwitz, Student Counseling Services
Mike Latta, Director of Student Counseling Services

 
Join us for a presentation on stress management. Mike and Ashleigh will present on some of the common causes of stress and what we can do to help manage the stress in our lives.


To sign up, please log on to ANGEL and choose ROSExperience. Spouses are welcome to attend this event! 

SimplyWell participants may earn 250 points under the Wellness Events category. Please log on to www.simplywell.com and enter your points within 90 days of this session.

If you have any questions, please contact Pam Pahnke at ext. 8916."
FOUND: textbook,A textbook was left in the Chemical Engineering department offices yesterday afternoon. Please stop by Olin 207G to describe and claim.
Award-Missing TI-NSPIRE CX CAS,"I believe I left my calculator (TI-NSPIRE CX CAS) in the chemistry lab F101 or in the Auditorium E104 after my 8am lab. If you have found it please email me back castelj@rose-hulman.edu or call me 203-470-7355

I would extremely appreciate it. 

Thank You"
Lost Ti 89,"I have lost my Ti 89 earlier today inside Moench hall building most probabily in D114(not really sure),  so if anyone had seen it and will be able to return it ,I would greatly appreciate it. It is a black Ti 89 calculator.  Email me at  woldema@rose-hulman.edu or call/text me at 251 382 3814  if you have found it.
Thank you so much."
Found-Cell Phone in G219,A cell phone was found in G219 and turned in the Math Office.  Please stop by G205 to describe/claim.  Thank You.
FOUND: Flash Drive,"Somebody left a flash drive in the computer room of the library.  If you think it is yours, email me back with a description of the drive and I'll get it back to you."
Found Letter Jacket,"A Rose-Hulman letter jacket was found in A202 before Christmas break.  If you are missing a RHIT letter jacket, please contact me to describe and claim."
